C,A,L,final_value,total_return,avg_picks
0.6500000000000001,0.15000000000000002,0.05,203413.25,1.0341,1.36
0.6500000000000001,0.15000000000000002,0.1,647657.64,5.4766,1.00
0.6500000000000001,0.15000000000000002,0.15,673548.32,5.7355,0.00
0.6500000000000001,0.2,0.0,495135.14,3.9514,52.53
0.6500000000000001,0.2,0.05,238077.85,1.3808,1.31
0.6500000000000001,0.2,0.1,765709.34,6.6571,1.00
0.6500000000000001,0.2,0.15,673548.32,5.7355,0.00
0.6500000000000001,0.25,0.0,493130.73,3.9313,50.35
0.6500000000000001,0.25,0.05,238077.85,1.3808,1.31
0.6500000000000001,0.25,0.1,765709.34,6.6571,1.00
0.6500000000000001,0.25,0.15,673548.32,5.7355,0.00
0.6500000000000001,0.3,0.0,499152.48,3.9915,48.98
0.6500000000000001,0.3,0.05,318949.13,2.1895,1.33
0.6500000000000001,0.3,0.1,765709.34,6.6571,1.00
0.6500000000000001,0.3,0.15,673548.32,5.7355,0.00
0.6500000000000001,0.35000000000000003,0.0,518606.01,4.1861,47.77
0.6500000000000001,0.35000000000000003,0.05,318949.13,2.1895,1.33
0.6500000000000001,0.35000000000000003,0.1,765709.34,6.6571,1.00
0.6500000000000001,0.35000000000000003,0.15,673548.32,5.7355,0.00
0.6500000000000001,0.4,0.0,524297.30,4.2430,47.08
0.6500000000000001,0.4,0.05,285197.48,1.8520,1.36
0.6500000000000001,0.4,0.1,765709.34,6.6571,1.00
0.6500000000000001,0.4,0.15,673548.32,5.7355,0.00
0.6500000000000001,0.45,0.0,531932.44,4.3193,46.52
0.6500000000000001,0.45,0.05,285197.48,1.8520,1.36
0.6500000000000001,0.45,0.1,765709.34,6.6571,1.00
0.6500000000000001,0.45,0.15,673548.32,5.7355,0.00
0.6500000000000001,0.5,0.0,530457.29,4.3046,46.12
0.6500000000000001,0.5,0.05,285197.48,1.8520,1.36
0.6500000000000001,0.5,0.1,765709.34,6.6571,1.00
0.6500000000000001,0.5,0.15,673548.32,5.7355,0.00
0.7000000000000001,0.05,0.0,447644.10,3.4764,59.40
0.7000000000000001,0.05,0.05,172129.54,0.7213,1.40
0.7000000000000001,0.05,0.1,647657.64,5.4766,1.00
0.7000000000000001,0.05,0.15,673548.32,5.7355,0.00
0.7000000000000001,0.1,0.0,464491.11,3.6449,56.33
0.7000000000000001,0.1,0.05,172129.54,0.7213,1.40
0.7000000000000001,0.1,0.1,647657.64,5.4766,1.00
0.7000000000000001,0.1,0.15,673548.32,5.7355,0.00
0.7000000000000001,0.15000000000000002,0.0,467224.61,3.6722,53.23
0.7000000000000001,0.15000000000000002,0.05,203413.25,1.0341,1.36
0.7000000000000001,0.15000000000000002,0.1,647657.64,5.4766,1.00
0.7000000000000001,0.15000000000000002,0.15,673548.32,5.7355,0.00
0.7000000000000001,0.2,0.0,480495.65,3.8050,50.92
0.7000000000000001,0.2,0.05,238077.85,1.3808,1.31
0.7000000000000001,0.2,0.1,765709.34,6.6571,1.00
0.7000000000000001,0.2,0.15,673548.32,5.7355,0.00
0.7000000000000001,0.25,0.0,478287.14,3.7829,48.73
0.7000000000000001,0.25,0.05,238077.85,1.3808,1.31
0.7000000000000001,0.25,0.1,765709.34,6.6571,1.00
0.7000000000000001,0.25,0.15,673548.32,5.7355,0.00
0.7000000000000001,0.3,0.0,483160.36,3.8316,47.33
0.7000000000000001,0.3,0.05,318949.13,2.1895,1.33
0.7000000000000001,0.3,0.1,765709.34,6.6571,1.00
0.7000000000000001,0.3,0.15,673548.32,5.7355,0.00
0.7000000000000001,0.35000000000000003,0.0,501898.01,4.0190,46.03
0.7000000000000001,0.35000000000000003,0.05,281451.42,1.8145,1.25
0.7000000000000001,0.35000000000000003,0.1,765709.34,6.6571,1.00
0.7000000000000001,0.35000000000000003,0.15,673548.32,5.7355,0.00
0.7000000000000001,0.4,0.0,507389.72,4.0739,45.32
0.7000000000000001,0.4,0.05,251667.83,1.5167,1.27
0.7000000000000001,0.4,0.1,765709.34,6.6571,1.00
0.7000000000000001,0.4,0.15,673548.32,5.7355,0.00
0.7000000000000001,0.45,0.0,514740.71,4.1474,44.73
0.7000000000000001,0.45,0.05,251667.83,1.5167,1.27
0.7000000000000001,0.45,0.1,765709.34,6.6571,1.00
0.7000000000000001,0.45,0.15,673548.32,5.7355,0.00
0.7000000000000001,0.5,0.0,515209.93,4.1521,44.30
0.7000000000000001,0.5,0.05,251667.83,1.5167,1.27
0.7000000000000001,0.5,0.1,765709.34,6.6571,1.00
0.7000000000000001,0.5,0.15,673548.32,5.7355,0.00
0.7500000000000001,0.05,0.0,443742.38,3.4374,58.02
0.7500000000000001,0.05,0.05,145186.67,0.4519,1.33
0.7500000000000001,0.05,0.1,647657.64,5.4766,1.00
0.7500000000000001,0.05,0.15,673548.32,5.7355,0.00
0.7500000000000001,0.1,0.0,460789.79,3.6079,54.93
0.7500000000000001,0.1,0.05,145186.67,0.4519,1.33
0.7500000000000001,0.1,0.1,647657.64,5.4766,1.00
0.7500000000000001,0.1,0.15,673548.32,5.7355,0.00
0.7500000000000001,0.15000000000000002,0.0,461850.28,3.6185,51.80
0.7500000000000001,0.15000000000000002,0.05,138606.94,0.3861,1.38
0.7500000000000001,0.15000000000000002,0.1,647657.64,5.4766,1.00
0.7500000000000001,0.15000000000000002,0.15,673548.32,5.7355,0.00
0.7500000000000001,0.2,0.0,473726.69,3.7373,49.47
0.7500000000000001,0.2,0.05,162227.60,0.6223,1.33
0.7500000000000001,0.2,0.1,765709.34,6.6571,1.00
0.7500000000000001,0.2,0.15,673548.32,5.7355,0.00
0.7500000000000001,0.25,0.0,470336.81,3.7034,47.28
0.7500000000000001,0.25,0.05,162227.60,0.6223,1.33
0.7500000000000001,0.25,0.1,765709.34,6.6571,1.00
0.7500000000000001,0.25,0.15,673548.32,5.7355,0.00
0.7500000000000001,0.3,0.0,473499.09,3.7350,45.85
0.7500000000000001,0.3,0.05,217333.75,1.1733,1.36
0.7500000000000001,0.3,0.1,765709.34,6.6571,1.00
0.7500000000000001,0.3,0.15,673548.32,5.7355,0.00
0.7500000000000001,0.35000000000000003,0.0,493489.29,3.9349,44.50
0.7500000000000001,0.35000000000000003,0.05,191782.60,0.9178,1.27
0.7500000000000001,0.35000000000000003,0.1,765709.34,6.6571,1.00
0.7500000000000001,0.35000000000000003,0.15,673548.32,5.7355,0.00
0.7500000000000001,0.4,0.0,498768.52,3.9877,43.78
0.7500000000000001,0.4,0.05,171487.89,0.7149,1.30
0.7500000000000001,0.4,0.1,765709.34,6.6571,1.00
0.7500000000000001,0.4,0.15,673548.32,5.7355,0.00
0.7500000000000001,0.45,0.0,505738.65,4.0574,43.20
0.7500000000000001,0.45,0.05,171487.89,0.7149,1.30
0.7500000000000001,0.45,0.1,765709.34,6.6571,1.00
0.7500000000000001,0.45,0.15,673548.32,5.7355,0.00
0.7500000000000001,0.5,0.0,503302.32,4.0330,42.72
0.7500000000000001,0.5,0.05,171487.89,0.7149,1.30
0.7500000000000001,0.5,0.1,765709.34,6.6571,1.00
0.7500000000000001,0.5,0.15,673548.32,5.7355,0.00
