date,market,risk,flattened,leader,volume
2008-12-31,99999.99999999999,99999.99999999999,99007.44416873516,99562.21866107768,99824.01639894249
2009-01-02,103014.18439716312,100021.83882943873,102884.45288456079,103518.30257601033,104718.06886936809
2009-01-05,102892.28723404254,100021.83882943873,103202.18958947383,103498.0965819425,105559.25940079133
2009-01-06,103579.3439716312,100043.67765887748,105327.09353134964,106100.99432425147,107405.40323328481
2009-01-07,100476.50709219858,100196.54946494868,101500.11676522158,102529.5162958022,103497.29919911084
2009-01-08,100888.74113475178,100087.35531775496,102310.5004271606,103160.63984113351,104142.53051022773
2009-01-09,98725.62056737588,100161.17056125791,99575.19101165597,100098.63516989278,101189.81054607905
2009-01-12,96354.16666666667,100109.19414719372,96328.88412743121,96466.12118561727,98007.72710683914
2009-01-13,96531.47163120567,100240.22712382616,96501.41039781987,97065.60382884226,97799.5101038085
2009-01-14,93495.12411347518,100262.06595326489,92598.35413649649,93049.32516813544,93796.20594996153
2009-01-15,93528.36879432625,100283.90478270364,93211.23103535901,93866.99805284082,94195.48633674164
2009-01-16,94259.75177304965,100218.6066826818,94415.15588355623,94571.3417922778,95171.3284405269
2009-01-20,89284.13120567375,100043.67765887748,88324.74480469011,87732.03435852821,89020.84120210254
2009-01-21,93140.51418439715,100218.38829438742,92613.00136656284,91940.14459675502,93393.19233017041
2009-01-22,91699.91134751773,100240.22712382616,90464.585304063,89995.61764937728,92447.93640757928
2009-01-23,92098.8475177305,100218.38829438742,91469.10106249075,91293.92880044345,93642.06304284304
2009-01-26,92730.49645390072,100196.54946494868,91865.01941983782,91613.11616812357,94415.98631830986
2009-01-27,93672.42907801419,100152.87180607118,93137.19168600327,92868.85403487911,95817.00863334136
2009-01-28,96841.75531914893,100109.19414719372,97123.74889962238,97124.53312585862,99730.60913083445
2009-01-29,93694.59219858155,100109.19414719372,93165.4343477946,93080.94128424159,96198.79462574677
2009-01-30,91788.56382978724,100196.33107665429,90435.0452733759,90497.17314644619,94347.72543224631
2009-02-02,91511.52482269504,100240.22712382616,90134.88742259346,90335.43153200186,95259.67079232061
2009-02-03,92796.98581560283,100152.87180607118,91653.58453802486,92283.96497287143,96919.34479598005
2009-02-04,92342.64184397162,100218.38829438742,91212.09968097159,91989.56621556047,96870.41252127972
2009-02-05,93716.75531914893,100174.71063550992,93231.74735554456,94062.01169705251,99870.43551115994
2009-02-06,96386.30319148937,100021.83882943873,96128.69553681515,97189.91279860014,103597.58594785159
2009-02-09,96520.39007092197,100148.50404018343,96121.44833610444,97161.31711869924,103979.65974150607
2009-02-10,92098.8475177305,100131.03297663244,90794.03636422637,91757.05660439521,98652.55989540643
2009-02-11,92641.8439716312,100109.19414719372,91555.08421006086,92695.09050201396,97928.07207790979
2009-02-12,92708.33333333333,100109.19414719372,91740.21172535926,92949.26617438073,98605.61312682144
2009-02-13,91710.99290780142,100196.54946494868,90880.07157452559,92027.69378395037,97902.93307724036
2009-02-17,87788.12056737588,100196.54946494868,86036.74218211722,87209.39214150897,92942.56486397826
2009-02-18,87577.57092198581,100218.16990609303,85714.49540449482,87074.81373775564,93187.1198488511
2009-02-19,86636.7464539007,100218.38829438742,84100.12456083686,85385.19804920987,90672.76325132298
2009-02-20,85793.43971631206,100218.38829438742,83337.04690483106,84742.55430358955,90682.33143454226
2009-02-23,82723.8475177305,100196.54946494868,80044.48909825059,81288.94469426981,87091.5270580509
2009-02-24,85859.92907801419,100131.03297663244,83998.41234155733,85754.05297993979,91629.96865970718
2009-02-25,85186.17021276595,100087.35531775496,82885.40463334035,84566.71906437997,91372.61046750777
2009-02-26,83798.75886524822,100109.19414719372,81550.96731269351,83346.2348985841,90352.20270375958
2009-02-27,81925.97517730496,100174.71063550992,79797.35703153309,81428.24776036735,89504.19008219786
2009-03-02,78235.81560283687,100218.38829438742,75393.49386936457,76631.94549461782,85299.1867217097
2009-03-03,77648.49290780141,100207.46887966804,74899.46024461769,76419.07640130623,85430.72793032556
2009-03-04,79488.03191489363,100196.54946494868,77383.80904863184,78896.92384943395,88593.76836670263
2009-03-05,76241.13475177305,100218.38829438742,73635.6265524205,75288.06486727565,85508.31602300938
2009-03-06,76374.1134751773,100196.54946494868,73395.60792309581,75320.96219331877,84330.48775421908
2009-03-09,75476.50709219858,100196.54946494868,72755.02548945749,74721.4812157993,83212.51022882853
2009-03-10,79975.62056737588,100196.54946494868,78085.43310302189,80422.71222415456,89520.32564085798
2009-03-11,80496.45390070922,100196.54946494868,78511.4244706271,80841.27086137726,91493.34810652136
2009-03-12,83665.78014184396,100152.87180607118,81981.34967850582,84934.31840664275,95422.73382133646
2009-03-13,84319.59219858157,100131.03297663244,82760.7516466514,85385.48754092897,95772.27700926896
2009-03-16,84064.71631205673,100109.19414719372,82232.22274920055,84834.93585574727,94537.26993334209
2009-03-17,86635.63829787234,100174.71063550992,85200.6290769952,88271.4898398591,98521.3406980218
2009-03-18,88574.91134751773,100196.54946494868,87950.69542675884,90694.3250349308,100977.83804706029
2009-03-19,87477.83687943262,100131.03297663244,86922.36516942226,89311.70797757877,100167.60381635159
2009-03-20,85006.6489361702,100174.71063550992,84598.23652590411,86863.95975895584,98181.65487008913
2009-03-23,91134.75177304963,100196.54946494868,91382.90447118331,93744.0903420621,105526.97276603853
2009-03-24,89317.37588652481,100180.82550775277,89457.99917430471,91907.02157704109,103047.2947041673
2009-03-25,90259.3085106383,100218.38829438742,90076.89912566952,92523.04603489276,103440.64328151797
2009-03-26,92098.8475177305,100196.54946494868,92983.89609612344,95893.96286888549,107195.92908410181
2009-03-27,90436.6134751773,100218.38829438742,90856.40982225082,93671.45071742109,104598.60110073267
2009-03-30,87311.6134751773,100196.54946494868,86857.83486652849,89364.75315124997,100643.38513488673
2009-03-31,88120.56737588652,100152.87180607118,87503.13043445296,90831.51741305747,101786.40932577525
2009-04-01,89827.12765957447,100152.87180607118,89022.90594218278,92375.3949272326,104174.9081507968
2009-04-02,92453.45744680852,100087.35531775496,92699.46327268599,95644.08326707035,108320.64719721927
2009-04-03,93373.22695035461,100152.87180607118,94581.51797011169,98333.34297693109,111471.03316685298
2009-04-06,92641.8439716312,100131.03297663244,93502.2397215529,97130.10270023796,111462.34859852935
2009-04-07,90480.93971631206,100131.03297663244,90597.7355848264,94334.43703371401,108150.60329553748
2009-04-08,91456.1170212766,100174.71063550992,92336.28684779047,96173.95621880301,110265.69224332893
