C,A,vol_factor,ad_ratio,total_return
0.15000000000000002,0.05,2.0,2.0,-0.147747455286794
0.15000000000000002,0.1,1.1,1.0,-0.28517949907484197
0.15000000000000002,0.1,1.1,1.25,-0.28517949907484197
0.15000000000000002,0.1,1.1,1.5,-0.28517949907484197
0.15000000000000002,0.1,1.1,1.75,-0.28517949907484197
0.15000000000000002,0.1,1.1,2.0,-0.28517949907484197
0.15000000000000002,0.1,1.3250000000000002,1.0,-0.055219205156196605
0.15000000000000002,0.1,1.3250000000000002,1.25,-0.055219205156196605
0.15000000000000002,0.1,1.3250000000000002,1.5,-0.055219205156196605
0.15000000000000002,0.1,1.3250000000000002,1.75,-0.055219205156196605
0.15000000000000002,0.1,1.3250000000000002,2.0,-0.055219205156196605
0.15000000000000002,0.1,1.55,1.0,-0.11174065990027127
0.15000000000000002,0.1,1.55,1.25,-0.11174065990027127
0.15000000000000002,0.1,1.55,1.5,-0.11174065990027127
0.15000000000000002,0.1,1.55,1.75,-0.11174065990027127
0.15000000000000002,0.1,1.55,2.0,-0.11174065990027127
0.15000000000000002,0.1,1.775,1.0,-0.16789903714346188
0.15000000000000002,0.1,1.775,1.25,-0.16789903714346188
0.15000000000000002,0.1,1.775,1.5,-0.16789903714346188
0.15000000000000002,0.1,1.775,1.75,-0.16789903714346188
0.15000000000000002,0.1,1.775,2.0,-0.16789903714346188
0.15000000000000002,0.1,2.0,1.0,-0.147747455286794
0.15000000000000002,0.1,2.0,1.25,-0.147747455286794
0.15000000000000002,0.1,2.0,1.5,-0.147747455286794
0.15000000000000002,0.1,2.0,1.75,-0.147747455286794
0.15000000000000002,0.1,2.0,2.0,-0.147747455286794
0.15000000000000002,0.15000000000000002,1.1,1.0,-0.2634434429946245
0.15000000000000002,0.15000000000000002,1.1,1.25,-0.2634434429946245
0.15000000000000002,0.15000000000000002,1.1,1.5,-0.2634434429946245
0.15000000000000002,0.15000000000000002,1.1,1.75,-0.2634434429946245
0.15000000000000002,0.15000000000000002,1.1,2.0,-0.2634434429946245
0.15000000000000002,0.15000000000000002,1.3250000000000002,1.0,-0.0289125881908876
0.15000000000000002,0.15000000000000002,1.3250000000000002,1.25,-0.0289125881908876
0.15000000000000002,0.15000000000000002,1.3250000000000002,1.5,-0.0289125881908876
0.15000000000000002,0.15000000000000002,1.3250000000000002,1.75,-0.0289125881908876
0.15000000000000002,0.15000000000000002,1.3250000000000002,2.0,-0.0289125881908876
0.15000000000000002,0.15000000000000002,1.55,1.0,-0.1104394568616135
0.15000000000000002,0.15000000000000002,1.55,1.25,-0.1104394568616135
0.15000000000000002,0.15000000000000002,1.55,1.5,-0.1104394568616135
0.15000000000000002,0.15000000000000002,1.55,1.75,-0.1104394568616135
0.15000000000000002,0.15000000000000002,1.55,2.0,-0.1104394568616135
0.15000000000000002,0.15000000000000002,1.775,1.0,-0.16789903714346188
0.15000000000000002,0.15000000000000002,1.775,1.25,-0.16789903714346188
0.15000000000000002,0.15000000000000002,1.775,1.5,-0.16789903714346188
0.15000000000000002,0.15000000000000002,1.775,1.75,-0.16789903714346188
0.15000000000000002,0.15000000000000002,1.775,2.0,-0.16789903714346188
0.15000000000000002,0.15000000000000002,2.0,1.0,-0.147747455286794
0.15000000000000002,0.15000000000000002,2.0,1.25,-0.147747455286794
0.15000000000000002,0.15000000000000002,2.0,1.5,-0.147747455286794
0.15000000000000002,0.15000000000000002,2.0,1.75,-0.147747455286794
