ticker
A
AAL
AAP
AAPL
ABBV
ABC
ABMD
ABNB
ABT
ACGL
ACN
ADBE
ADI
ADM
ADP
ADS
ADSK
AEE
AEP
AES
AFL
AIG
AIV
AIZ
AJG
AKAM
ALB
ALGN
ALK
ALL
ALLE
ALXN
AMAT
AMCR
AMD
AME
AMG
AMGN
AMP
AMT
AMZN
AN
ANDV
ANET
ANF
ANSS
ANTM
AON
AOS
APA
APC
APD
APH
APOL
APTV
ARE
ARG
ATGE
ATI
ATO
ATVI
AVB
AVGO
AVP
AVY
AWK
AXON
AXP
AYE
AYI
AZO
BA
BAC
BALL
BAX
BBBY
BBT
BBWI
BBY
BDX
BEN
BF.B
BG
BHF
BIG
BIIB
BIO
BJS
BK
BKNG
BKR
BLDR
BLK
BLL
BMS
BMY
BNI
BR
BRCM
BRK.B
BRO
BSX
BWA
BX
BXLT
BXP
C
CA
CAG
CAH
CAM
CARR
CAT
CB
CBE
CBOE
CBRE
CBS
CCI
CCL
CDAY
CDNS
CDW
CE
CEG
CELG
CEPH
CERN
CF
CFG
CFN
CHD
CHRW
CHTR
CI
CIEN
CINF
CL
CLF
CLX
CMA
CMCSA
CMCSK
CME
CMG
CMI
CMS
CNC
CNP
CNX
COF
COG
COL
COO
COP
COR
COST
COTY
COV
CPAY
CPB
CPGX
CPRI
CPRT
CPT
CRL
CRM
CRWD
CSCO
CSGP
CSRA
CSX
CTAS
CTL
CTLT
CTRA
CTSH
CTVA
CTXS
CVC
CVG
CVS
CVX
CXO
CZR
D
DAL
DAY
DD
DDR
DE
DECK
DELL
DF
DFS
DG
DGX
DHI
DHR
DIS
DISH
DLR
DLTR
DNR
DOC
DOV
DOW
DPZ
DRE
DRI
DTE
DUK
DVA
DVN
DWDP
DXC
DXCM
DYN
EA
EBAY
ECL
ED
EFX
EG
EIX
EL
ELV
EMN
EMR
ENDP
ENPH
EOG
EP
EPAM
EQ
EQIX
EQR
EQT
ERIE
ES
ESRX
ESS
ESV
ETFC
ETN
ETR
ETSY
EVHC
EVRG
EW
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FB
FBHS
FCPT
FCX
FDO
FDS
FDX
FE
FFIV
FHN
FI
FICO
FII
FIS
FISV
FITB
FL
FLIR
FLR
FLS
FLT
FMC
FOX
FOXA
FRT
FRX
FSLR
FTI
FTNT
FTR
FTV
GD
GDDY
GE
GEHC
GEN
GENZ
GEV
GGP
GHC
GILD
GIS
GL
GLW
GM
GMCR
GME
GNRC
GNW
GOOG
GOOGL
GPC
GPN
GPS
GR
GRMN
GS
GT
GWW
HAL
HAS
HBAN
HBI
HCA
HCBK
HD
HES
HFC
HIG
HII
HLT
HNZ
HOG
HOLX
HON
HP
HPE
HPQ
HRB
HRL
HSIC
HSP
HST
HSY
HUBB
HUM
HWM
IBM
ICE
IDXX
IEX
IFF
IGT
ILMN
INCY
INTC
INTU
INVH
IP
IPG
IPGP
IQV
IR
IRM
ISRG
IT
ITT
ITW
IVZ
J
JBHT
JBL
JCI
JCP
JEC
JEF
JKHY
JNJ
JNPR
JNS
JNY
JOY
JPM
JWN
K
KBH
KDP
KEY
KEYS
KHC
KIM
KKR
KLAC
KMB
KMI
KMX
KO
KORS
KR
KRFT
KSS
KSU
KVUE
L
LB
LDOS
LEG
LEN
LH
LHX
LIN
LKQ
LLTC
LLY
LM
LMT
LNC
LNT
LO
LOW
LRCX
LSI
LULU
LUMN
LUV
LVLT
LVS
LW
LXK
LYB
LYV
M
MA
MAA
MAC
MAR
MAS
MAT
MBI
MCD
MCHP
MCK
MCO
MDLZ
MDT
MEE
MET
META
MGM
MHK
MHS
MJN
MKC
MKTX
MLM
MMC
MMI
MMM
MNST
MO
MOH
MOLX
MOS
MPC
MPWR
MRK
MRNA
MRO
MS
MSCI
MSFT
MSI
MTB
MTCH
MTD
MTW
MU
MUR
MWW
MXIM
MYL
NAVI
NBL
NBR
NCLH
NDAQ
NDSN
NEE
NEM
NFLX
NFX
NI
NKE
NKTR
NLOK
NLSN
NOC
NOV
